timestamp,host,json
2025-01-04T09:01:01.001Z,ecom-api-2,"{""eventId"":""evt_0001"",""eventType"":""purchase"",""occurredAt"":""2025-01-04T09:01:01.001Z"",""userId"":""usr_012"",""paymentMethodId"":""pm_012"",""order"":{""orderId"":""ORD-2025-10001"",""status"":""fulfilled"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_004"",""name"":""Soft Hoodie"",""quantity"":2,""unitPrice"":76.4,""lineTotal"":152.8},{""lineId"":""line_2"",""itemId"":""item_011"",""name"":""Max Lamp"",""quantity"":3,""unitPrice"":195.1,""lineTotal"":585.3}],""currency"":""USD""},""totals"":{""subtotal"":738.1,""tax"":64.95,""shipping"":5,""total"":808.05},""shipping"":{""method"":""Express"",""address"":{""line1"":""112 Pine St"",""city"":""Atlanta"",""state"":""GA"",""zip"":""30303"",""country"":""US""},""tracking"":{""carrier"":""ShipGo"",""number"":""TRK00000001"",""url"":""https://track.example.com/TRK00000001""}}},""payment"":{""status"":""captured"",""amount"":808.05,""currency"":""USD"",""cardFingerprint"":""fp_012"",""last4"":""2164""}}"
2025-01-07T10:02:02.002Z,ecom-worker-1,"{""eventId"":""evt_0002"",""eventType"":""purchase"",""occurredAt"":""2025-01-07T10:02:02.002Z"",""userId"":""usr_023"",""paymentMethodId"":""pm_023"",""order"":{""orderId"":""ORD-2025-10002"",""status"":""shipped"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_007"",""name"":""Classic Keyboard"",""quantity"":3,""unitPrice"":127.7,""lineTotal"":383.1},{""lineId"":""line_2"",""itemId"":""item_014"",""name"":""Minimal Hoodie"",""quantity"":1,""unitPrice"":56.4,""lineTotal"":56.4},{""lineId"":""line_3"",""itemId"":""item_021"",""name"":""Rugged Lamp"",""quantity"":2,""unitPrice"":175.1,""lineTotal"":350.2}],""currency"":""USD""},""totals"":{""subtotal"":789.7,""tax"":69.49,""shipping"":9.99,""total"":869.18},""shipping"":{""method"":""Pickup"",""address"":{""line1"":""123 Lake St"",""city"":""Miami"",""state"":""FL"",""zip"":""33101"",""country"":""US""},""tracking"":{""carrier"":""USPS"",""number"":""TRK00000002"",""url"":""https://track.example.com/TRK00000002""}}},""payment"":{""status"":""captured"",""amount"":869.18,""currency"":""USD"",""cardFingerprint"":""fp_023"",""last4"":""3231""}}"
2025-01-10T11:03:03.003Z,ecom-cs-1,"{""eventId"":""evt_0003"",""eventType"":""purchase"",""occurredAt"":""2025-01-10T11:03:03.003Z"",""userId"":""usr_034"",""paymentMethodId"":""pm_034"",""order"":{""orderId"":""ORD-2025-10003"",""status"":""delivered"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_010"",""name"":""Lite Speaker"",""quantity"":1,""unitPrice"":178,""lineTotal"":178},{""lineId"":""line_2"",""itemId"":""item_017"",""name"":""Pro Keyboard"",""quantity"":2,""unitPrice"":107.7,""lineTotal"":215.4},{""lineId"":""line_3"",""itemId"":""item_024"",""name"":""Compact Hoodie"",""quantity"":3,""unitPrice"":36.4,""lineTotal"":109.2},{""lineId"":""line_4"",""itemId"":""item_031"",""name"":""Classic Lamp"",""quantity"":1,""unitPrice"":155.1,""lineTotal"":155.1}],""currency"":""USD""},""totals"":{""subtotal"":657.7,""tax"":57.88,""shipping"":15,""total"":730.58},""shipping"":{""method"":""Standard"",""address"":{""line1"":""134 Market St"",""city"":""Boston"",""state"":""MA"",""zip"":""02108"",""country"":""US""},""tracking"":{""carrier"":""FastParcel"",""number"":""TRK00000003"",""url"":""https://track.example.com/TRK00000003""}}},""payment"":{""status"":""captured"",""amount"":730.58,""currency"":""USD"",""cardFingerprint"":""fp_034"",""last4"":""4298""}}"
2025-01-13T12:04:04.004Z,ecom-api-1,"{""eventId"":""evt_0004"",""eventType"":""purchase"",""occurredAt"":""2025-01-13T12:04:04.004Z"",""userId"":""usr_045"",""paymentMethodId"":""pm_045"",""order"":{""orderId"":""ORD-2025-10004"",""status"":""confirmed"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_013"",""name"":""Rugged Stand"",""quantity"":2,""unitPrice"":39.3,""lineTotal"":78.6},{""lineId"":""line_2"",""itemId"":""item_020"",""name"":""Soft Speaker"",""quantity"":3,""unitPrice"":158,""lineTotal"":474},{""lineId"":""line_3"",""itemId"":""item_027"",""name"":""Max Keyboard"",""quantity"":1,""unitPrice"":87.7,""lineTotal"":87.7},{""lineId"":""line_4"",""itemId"":""item_034"",""name"":""Lite Hoodie"",""quantity"":2,""unitPrice"":16.4,""lineTotal"":32.8},{""lineId"":""line_5"",""itemId"":""item_041"",""name"":""Pro Lamp"",""quantity"":3,""unitPrice"":135.1,""lineTotal"":405.3}],""currency"":""USD""},""totals"":{""subtotal"":1078.4,""tax"":94.9,""shipping"":0,""total"":1173.3},""shipping"":{""method"":""Express"",""address"":{""line1"":""145 Oak St"",""city"":""Chicago"",""state"":""IL"",""zip"":""60601"",""country"":""US""},""tracking"":null}},""payment"":{""status"":""captured"",""amount"":1173.3,""currency"":""USD"",""cardFingerprint"":""fp_005"",""last4"":""1485""}}"
2025-01-16T13:05:05.005Z,ecom-api-2,"{""eventId"":""evt_0005"",""eventType"":""purchase"",""occurredAt"":""2025-01-16T13:05:05.005Z"",""userId"":""usr_056"",""paymentMethodId"":""pm_056"",""order"":{""orderId"":""ORD-2025-10005"",""status"":""fulfilled"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_016"",""name"":""Compact Lamp"",""quantity"":3,""unitPrice"":90.6,""lineTotal"":271.8}],""currency"":""USD""},""totals"":{""subtotal"":271.8,""tax"":23.92,""shipping"":5,""total"":300.72},""shipping"":{""method"":""Pickup"",""address"":{""line1"":""156 Pine St"",""city"":""Seattle"",""state"":""WA"",""zip"":""98101"",""country"":""US""},""tracking"":{""carrier"":""USPS"",""number"":""TRK00000005"",""url"":""https://track.example.com/TRK00000005""}}},""payment"":{""status"":""captured"",""amount"":300.72,""currency"":""USD"",""cardFingerprint"":""fp_016"",""last4"":""2552""}}"
2025-01-19T14:06:06.006Z,ecom-worker-1,"{""eventId"":""evt_0006"",""eventType"":""purchase"",""occurredAt"":""2025-01-19T14:06:06.006Z"",""userId"":""usr_067"",""paymentMethodId"":""pm_067"",""order"":{""orderId"":""ORD-2025-10006"",""status"":""shipped"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_019"",""name"":""Max Hoodie"",""quantity"":1,""unitPrice"":141.9,""lineTotal"":141.9},{""lineId"":""line_2"",""itemId"":""item_026"",""name"":""Lite Lamp"",""quantity"":2,""unitPrice"":70.6,""lineTotal"":141.2}],""currency"":""USD""},""totals"":{""subtotal"":283.1,""tax"":24.91,""shipping"":9.99,""total"":318},""shipping"":{""method"":""Standard"",""address"":{""line1"":""167 Lake St"",""city"":""Denver"",""state"":""CO"",""zip"":""80202"",""country"":""US""},""tracking"":{""carrier"":""FastParcel"",""number"":""TRK00000006"",""url"":""https://track.example.com/TRK00000006""}}},""payment"":{""status"":""captured"",""amount"":318,""currency"":""USD"",""cardFingerprint"":""fp_027"",""last4"":""3619""}}"
2025-01-22T15:07:07.007Z,ecom-cs-1,"{""eventId"":""evt_0007"",""eventType"":""purchase"",""occurredAt"":""2025-01-22T15:07:07.007Z"",""userId"":""usr_008"",""paymentMethodId"":""pm_071"",""order"":{""orderId"":""ORD-2025-10007"",""status"":""delivered"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_022"",""name"":""Minimal Keyboard"",""quantity"":2,""unitPrice"":192.2,""lineTotal"":384.4},{""lineId"":""line_2"",""itemId"":""item_029"",""name"":""Rugged Hoodie"",""quantity"":3,""unitPrice"":121.9,""lineTotal"":365.7},{""lineId"":""line_3"",""itemId"":""item_036"",""name"":""Soft Lamp"",""quantity"":1,""unitPrice"":50.6,""lineTotal"":50.6}],""currency"":""USD""},""totals"":{""subtotal"":800.7,""tax"":70.46,""shipping"":15,""total"":886.16},""shipping"":{""method"":""Express"",""address"":{""line1"":""108 Pine St"",""city"":""Seattle"",""state"":""WA"",""zip"":""98101"",""country"":""US""},""tracking"":{""carrier"":""ShipGo"",""number"":""TRK00000007"",""url"":""https://track.example.com/TRK00000007""}}},""payment"":{""status"":""captured"",""amount"":886.16,""currency"":""USD"",""cardFingerprint"":""fp_014"",""last4"":""2358""}}"
2025-01-25T16:08:08.008Z,ecom-api-1,"{""eventId"":""evt_0008"",""eventType"":""purchase"",""occurredAt"":""2025-01-25T16:08:08.008Z"",""userId"":""usr_019"",""paymentMethodId"":""pm_019"",""order"":{""orderId"":""ORD-2025-10008"",""status"":""confirmed"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_025"",""name"":""Pro Speaker"",""quantity"":3,""unitPrice"":53.5,""lineTotal"":160.5},{""lineId"":""line_2"",""itemId"":""item_032"",""name"":""Compact Keyboard"",""quantity"":1,""unitPrice"":172.2,""lineTotal"":172.2},{""lineId"":""line_3"",""itemId"":""item_039"",""name"":""Classic Hoodie"",""quantity"":2,""unitPrice"":101.9,""lineTotal"":203.8},{""lineId"":""line_4"",""itemId"":""item_046"",""name"":""Minimal Lamp"",""quantity"":3,""unitPrice"":30.6,""lineTotal"":91.8}],""currency"":""USD""},""totals"":{""subtotal"":628.3,""tax"":55.29,""shipping"":0,""total"":683.59},""shipping"":{""method"":""Pickup"",""address"":{""line1"":""119 Lake St"",""city"":""Denver"",""state"":""CO"",""zip"":""80202"",""country"":""US""},""tracking"":null}},""payment"":{""status"":""captured"",""amount"":683.59,""currency"":""USD"",""cardFingerprint"":""fp_019"",""last4"":""2843""}}"
2025-01-28T17:09:09.009Z,ecom-api-2,"{""eventId"":""evt_0009"",""eventType"":""purchase"",""occurredAt"":""2025-01-28T17:09:09.009Z"",""userId"":""usr_030"",""paymentMethodId"":""pm_030"",""order"":{""orderId"":""ORD-2025-10009"",""status"":""fulfilled"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_028"",""name"":""Soft Stand"",""quantity"":1,""unitPrice"":104.8,""lineTotal"":104.8},{""lineId"":""line_2"",""itemId"":""item_035"",""name"":""Max Speaker"",""quantity"":2,""unitPrice"":33.5,""lineTotal"":67},{""lineId"":""line_3"",""itemId"":""item_042"",""name"":""Lite Keyboard"",""quantity"":3,""unitPrice"":152.2,""lineTotal"":456.6},{""lineId"":""line_4"",""itemId"":""item_049"",""name"":""Pro Hoodie"",""quantity"":1,""unitPrice"":81.9,""lineTotal"":81.9},{""lineId"":""line_5"",""itemId"":""item_056"",""name"":""Compact Lamp"",""quantity"":2,""unitPrice"":10.6,""lineTotal"":21.2}],""currency"":""USD""},""totals"":{""subtotal"":731.5,""tax"":64.37,""shipping"":5,""total"":800.87},""shipping"":{""method"":""Standard"",""address"":{""line1"":""130 Market St"",""city"":""Portland"",""state"":""OR"",""zip"":""97201"",""country"":""US""},""tracking"":{""carrier"":""FastParcel"",""number"":""TRK00000009"",""url"":""https://track.example.com/TRK00000009""}}},""payment"":{""status"":""captured"",""amount"":800.87,""currency"":""USD"",""cardFingerprint"":""fp_030"",""last4"":""3910""}}"
2025-01-31T18:10:10.010Z,ecom-worker-1,"{""eventId"":""evt_0010"",""eventType"":""purchase"",""occurredAt"":""2025-01-31T18:10:10.010Z"",""userId"":""usr_041"",""paymentMethodId"":""pm_041"",""order"":{""orderId"":""ORD-2025-10010"",""status"":""shipped"",""basket"":{""lines"":[{""lineId"":""line_1"",""itemId"":""item_031"",""name"":""Classic Lamp"",""quantity"":2,""unitPrice"":155.1,""lineTotal"":310.2}],""currency"":""USD""},""totals"":{""subtotal"":310.2,""tax"":27.3,""shipping"":9.99,""total"":347.49},""shipping"":{""method"":""Express"",""address"":{""line1"":""141 Oak St"",""city"":""Austin"",""state"":""TX"",""zip"":""78701"",""country"":""US""},""tracking"":{""carrier"":""ShipGo"",""number"":""TRK00000010"",""url"":""https://track.example.com/TRK00000010""}}},""payment"":{""status"":""captured"",""amount"":347.49,""currency"":""USD"",""cardFingerprint"":""fp_001"",""last4"":""1097""}}"
