timestamp,host,json
2025-01-02T10:01:00.001Z,ecom-api-2,"{""paymentMethodId"":""pm_001"",""userId"":""usr_001"",""addedAt"":""2025-01-02T10:01:00.001Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_001"",""brand"":""mastercard"",""last4"":""1097"",""expMonth"":2,""expYear"":2027,""billing"":{""name"":""Liam Nair"",""postalCode"":""78701"",""country"":""US""}},""wallet"":null}"
2025-01-03T10:02:00.002Z,ecom-worker-1,"{""paymentMethodId"":""pm_002"",""userId"":""usr_002"",""addedAt"":""2025-01-03T10:02:00.002Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_002"",""brand"":""amex"",""last4"":""1194"",""expMonth"":3,""expYear"":2028,""billing"":{""name"":""Iris Nguyen"",""postalCode"":""02108"",""country"":""US""}},""wallet"":null}"
2025-01-04T10:03:00.003Z,ecom-cs-1,"{""paymentMethodId"":""pm_003"",""userId"":""usr_003"",""addedAt"":""2025-01-04T10:03:00.003Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_003"",""brand"":""discover"",""last4"":""1291"",""expMonth"":4,""expYear"":2029,""billing"":{""name"":""Kai Murphy"",""postalCode"":""80202"",""country"":""US""}},""wallet"":null}"
2025-01-05T10:04:00.004Z,ecom-api-1,"{""paymentMethodId"":""pm_004"",""userId"":""usr_004"",""addedAt"":""2025-01-05T10:04:00.004Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_004"",""brand"":""visa"",""last4"":""1388"",""expMonth"":5,""expYear"":2030,""billing"":{""name"":""Elena Chen"",""postalCode"":""30303"",""country"":""US""}},""wallet"":null}"
2025-01-06T10:05:00.005Z,ecom-api-2,"{""paymentMethodId"":""pm_005"",""userId"":""usr_005"",""addedAt"":""2025-01-06T10:05:00.005Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_005"",""brand"":""mastercard"",""last4"":""1485"",""expMonth"":6,""expYear"":2026,""billing"":{""name"":""Sam Nair"",""postalCode"":""60601"",""country"":""US""}},""wallet"":null}"
2025-01-07T10:06:00.006Z,ecom-worker-1,"{""paymentMethodId"":""pm_006"",""userId"":""usr_006"",""addedAt"":""2025-01-07T10:06:00.006Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_006"",""brand"":""amex"",""last4"":""1582"",""expMonth"":7,""expYear"":2027,""billing"":{""name"":""Riley Nguyen"",""postalCode"":""97201"",""country"":""US""}},""wallet"":null}"
2025-01-08T10:07:00.007Z,ecom-cs-1,"{""paymentMethodId"":""pm_007"",""userId"":""usr_007"",""addedAt"":""2025-01-08T10:07:00.007Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_007"",""brand"":""discover"",""last4"":""1679"",""expMonth"":8,""expYear"":2028,""billing"":{""name"":""Noah Murphy"",""postalCode"":""33101"",""country"":""US""}},""wallet"":{""provider"":""google_pay"",""deviceBound"":true}}"
2025-01-09T10:08:00.008Z,ecom-api-1,"{""paymentMethodId"":""pm_008"",""userId"":""usr_008"",""addedAt"":""2025-01-09T10:08:00.008Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_008"",""brand"":""visa"",""last4"":""1776"",""expMonth"":9,""expYear"":2029,""billing"":{""name"":""Zoe Chen"",""postalCode"":""98101"",""country"":""US""}},""wallet"":null}"
2025-01-10T10:09:00.009Z,ecom-api-2,"{""paymentMethodId"":""pm_009"",""userId"":""usr_009"",""addedAt"":""2025-01-10T10:09:00.009Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_009"",""brand"":""mastercard"",""last4"":""1873"",""expMonth"":10,""expYear"":2030,""billing"":{""name"":""Owen Nair"",""postalCode"":""78701"",""country"":""US""}},""wallet"":null}"
2025-01-11T10:10:00.010Z,ecom-worker-1,"{""paymentMethodId"":""pm_010"",""userId"":""usr_010"",""addedAt"":""2025-01-11T10:10:00.010Z"",""type"":""card"",""status"":""active"",""card"":{""fingerprint"":""fp_010"",""brand"":""amex"",""last4"":""1970"",""expMonth"":11,""expYear"":2026,""billing"":{""name"":""Nina Nguyen"",""postalCode"":""02108"",""country"":""US""}},""wallet"":null}"
