timestamp,host,json
2025-01-02T08:01:00.001Z,ecom-api-1,"{""userId"":""usr_001"",""createdAt"":""2025-01-02T08:01:00.001Z"",""status"":""active"",""profile"":{""name"":{""given"":""Liam"",""family"":""Nair"",""display"":""Liam Nair""},""email"":{""primary"":""liam.nair1@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""101 Oak St"",""city"":""Austin"",""state"":""TX"",""zip"":""78701"",""country"":""US""}},""loyalty"":{""tier"":""bronze"",""points"":37},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":false}}}"
2025-01-03T08:02:00.002Z,ecom-api-2,"{""userId"":""usr_002"",""createdAt"":""2025-01-03T08:02:00.002Z"",""status"":""active"",""profile"":{""name"":{""given"":""Iris"",""family"":""Nguyen"",""display"":""Iris Nguyen""},""email"":{""primary"":""iris.nguyen2@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""102 Market St"",""city"":""Boston"",""state"":""MA"",""zip"":""02108"",""country"":""US""}},""loyalty"":{""tier"":""silver"",""points"":74},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":true}}}"
2025-01-04T08:03:00.003Z,ecom-worker-1,"{""userId"":""usr_003"",""createdAt"":""2025-01-04T08:03:00.003Z"",""status"":""active"",""profile"":{""name"":{""given"":""Kai"",""family"":""Murphy"",""display"":""Kai Murphy""},""email"":{""primary"":""kai.murphy3@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""103 Lake St"",""city"":""Denver"",""state"":""CO"",""zip"":""80202"",""country"":""US""}},""loyalty"":{""tier"":""gold"",""points"":111},""prefs"":{""locale"":""en-US"",""marketingOptIn"":false,""notifications"":{""email"":true,""sms"":false,""push"":false}}}"
2025-01-05T08:04:00.004Z,ecom-cs-1,"{""userId"":""usr_004"",""createdAt"":""2025-01-05T08:04:00.004Z"",""status"":""active"",""profile"":{""name"":{""given"":""Elena"",""family"":""Chen"",""display"":""Elena Chen""},""email"":{""primary"":""elena.chen4@example.com"",""verified"":true},""phone"":{""countryCode"":""1"",""number"":""2065551004""},""address"":{""line1"":""104 Pine St"",""city"":""Atlanta"",""state"":""GA"",""zip"":""30303"",""country"":""US""}},""loyalty"":{""tier"":""none"",""points"":148},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":true}}}"
2025-01-06T08:05:00.005Z,ecom-api-1,"{""userId"":""usr_005"",""createdAt"":""2025-01-06T08:05:00.005Z"",""status"":""active"",""profile"":{""name"":{""given"":""Sam"",""family"":""Nair"",""display"":""Sam Nair""},""email"":{""primary"":""sam.nair5@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""105 Oak St"",""city"":""Chicago"",""state"":""IL"",""zip"":""60601"",""country"":""US""}},""loyalty"":{""tier"":""bronze"",""points"":185},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":true,""push"":false}}}"
2025-01-07T08:06:00.006Z,ecom-api-2,"{""userId"":""usr_006"",""createdAt"":""2025-01-07T08:06:00.006Z"",""status"":""active"",""profile"":{""name"":{""given"":""Riley"",""family"":""Nguyen"",""display"":""Riley Nguyen""},""email"":{""primary"":""riley.nguyen6@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""106 Market St"",""city"":""Portland"",""state"":""OR"",""zip"":""97201"",""country"":""US""}},""loyalty"":{""tier"":""silver"",""points"":222},""prefs"":{""locale"":""en-US"",""marketingOptIn"":false,""notifications"":{""email"":true,""sms"":false,""push"":true}}}"
2025-01-08T08:07:00.007Z,ecom-worker-1,"{""userId"":""usr_007"",""createdAt"":""2025-01-08T08:07:00.007Z"",""status"":""active"",""profile"":{""name"":{""given"":""Noah"",""family"":""Murphy"",""display"":""Noah Murphy""},""email"":{""primary"":""noah.murphy7@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""107 Lake St"",""city"":""Miami"",""state"":""FL"",""zip"":""33101"",""country"":""US""}},""loyalty"":{""tier"":""gold"",""points"":259},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":false}}}"
2025-01-09T08:08:00.008Z,ecom-cs-1,"{""userId"":""usr_008"",""createdAt"":""2025-01-09T08:08:00.008Z"",""status"":""active"",""profile"":{""name"":{""given"":""Zoe"",""family"":""Chen"",""display"":""Zoe Chen""},""email"":{""primary"":""zoe.chen8@example.com"",""verified"":true},""phone"":{""countryCode"":""1"",""number"":""2065551008""},""address"":{""line1"":""108 Pine St"",""city"":""Seattle"",""state"":""WA"",""zip"":""98101"",""country"":""US""}},""loyalty"":{""tier"":""none"",""points"":296},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":true}}}"
2025-01-10T08:09:00.009Z,ecom-api-1,"{""userId"":""usr_009"",""createdAt"":""2025-01-10T08:09:00.009Z"",""status"":""active"",""profile"":{""name"":{""given"":""Owen"",""family"":""Nair"",""display"":""Owen Nair""},""email"":{""primary"":""owen.nair9@example.com"",""verified"":false},""phone"":null,""address"":{""line1"":""109 Oak St"",""city"":""Austin"",""state"":""TX"",""zip"":""78701"",""country"":""US""}},""loyalty"":{""tier"":""bronze"",""points"":333},""prefs"":{""locale"":""en-US"",""marketingOptIn"":false,""notifications"":{""email"":true,""sms"":false,""push"":false}}}"
2025-01-11T08:10:00.010Z,ecom-api-2,"{""userId"":""usr_010"",""createdAt"":""2025-01-11T08:10:00.010Z"",""status"":""active"",""profile"":{""name"":{""given"":""Nina"",""family"":""Nguyen"",""display"":""Nina Nguyen""},""email"":{""primary"":""nina.nguyen10@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""110 Market St"",""city"":""Boston"",""state"":""MA"",""zip"":""02108"",""country"":""US""}},""loyalty"":{""tier"":""silver"",""points"":370},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":true,""push"":true}}}"
2025-01-12T08:11:00.011Z,ecom-worker-1,"{""userId"":""usr_011"",""createdAt"":""2025-01-12T08:11:00.011Z"",""status"":""active"",""profile"":{""name"":{""given"":""Miles"",""family"":""Murphy"",""display"":""Miles Murphy""},""email"":{""primary"":""miles.murphy11@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""111 Lake St"",""city"":""Denver"",""state"":""CO"",""zip"":""80202"",""country"":""US""}},""loyalty"":{""tier"":""gold"",""points"":407},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":false}},""account"":{""risk"":{""score"":43,""flags"":[],""review"":{""required"":false,""note"":null}},""auth"":{""subject"":""auth0|usr_011"",""mfa"":{""enabled"":false,""methods"":[]}}}}"
2025-01-13T08:12:00.012Z,ecom-cs-1,"{""userId"":""usr_012"",""createdAt"":""2025-01-13T08:12:00.012Z"",""status"":""active"",""profile"":{""name"":{""given"":""Jordan"",""family"":""Chen"",""display"":""Jordan Chen""},""email"":{""primary"":""jordan.chen12@example.com"",""verified"":true},""phone"":{""countryCode"":""1"",""number"":""2065551012""},""address"":{""line1"":""112 Pine St"",""city"":""Atlanta"",""state"":""GA"",""zip"":""30303"",""country"":""US""}},""loyalty"":{""tier"":""none"",""points"":444},""prefs"":{""locale"":""en-US"",""marketingOptIn"":false,""notifications"":{""email"":true,""sms"":false,""push"":true}}}"
2025-01-14T08:13:00.013Z,ecom-api-1,"{""userId"":""usr_013"",""createdAt"":""2025-01-14T08:13:00.013Z"",""status"":""active"",""profile"":{""name"":{""given"":""Quinn"",""family"":""Nair"",""display"":""Quinn Nair""},""email"":{""primary"":""quinn.nair13@example.com"",""verified"":true},""phone"":null,""address"":{""line1"":""113 Oak St"",""city"":""Chicago"",""state"":""IL"",""zip"":""60601"",""country"":""US""}},""loyalty"":{""tier"":""bronze"",""points"":481},""prefs"":{""locale"":""en-US"",""marketingOptIn"":true,""notifications"":{""email"":true,""sms"":false,""push"":false}}}"
