timestamp,host,json
2025-01-01T08:00:00.100Z,orders-api-1,"{""orderId"":""ORD-2025-10000"",""orderDate"":""2025-01-01T08:00:00Z"",""customer"":{""customerId"":5678,""name"":""Michael Chen"",""email"":""michael.chen@example.com""},""items"":[{""productId"":""PROD-001"",""name"":""Wireless Mouse"",""quantity"":2,""price"":29.99},{""productId"":""PROD-002"",""name"":""USB Cable"",""quantity"":3,""price"":9.99}],""shipping"":{""method"":""Express"",""cost"":15,""address"":{""street"":""789 Pine Street"",""city"":""Seattle"",""state"":""WA"",""zipCode"":""98101""}},""payment"":{""method"":""credit_card"",""last4"":""4242"",""status"":""paid""},""subtotal"":89.95,""tax"":8.1,""total"":113.05,""status"":""processing""}"
2025-01-02T09:07:00.101Z,orders-api-2,"{""orderId"":""ORD-2025-10001"",""orderDate"":""2025-01-02T09:07:00Z"",""customer"":{""customerId"":1201,""name"":""Ava Brooks"",""email"":""ava.brooks@example.com""},""items"":[{""productId"":""PROD-003"",""name"":""Mechanical Keyboard"",""quantity"":1,""price"":119}],""shipping"":{""method"":""Standard"",""cost"":5,""address"":{""street"":""12 Market St"",""city"":""San Francisco"",""state"":""CA"",""zipCode"":""94105""}},""payment"":{""method"":""paypal"",""last4"":""1111"",""status"":""paid""},""subtotal"":119,""tax"":10.71,""total"":134.71,""status"":""shipped""}"
2025-01-03T10:14:00.102Z,orders-worker-1,"{""orderId"":""ORD-2025-10002"",""orderDate"":""2025-01-03T10:14:00Z"",""customer"":{""customerId"":3340,""name"":""Jordan Lee"",""email"":""jordan.lee@example.com""},""items"":[{""productId"":""PROD-006"",""name"":""Noise Cancelling Headphones"",""quantity"":1,""price"":199.99},{""productId"":""PROD-008"",""name"":""Desk Mat"",""quantity"":2,""price"":24.5},{""productId"":""PROD-010"",""name"":""HDMI Cable"",""quantity"":1,""price"":12.99}],""shipping"":{""method"":""Overnight"",""cost"":29,""address"":{""street"":""400 Congress Ave"",""city"":""Austin"",""state"":""TX"",""zipCode"":""78701""}},""payment"":{""method"":""apple_pay"",""last4"":""8821"",""status"":""paid""},""subtotal"":261.98,""tax"":23.58,""total"":314.56,""status"":""delivered""}"
2025-01-04T11:21:00.103Z,orders-api-1,"{""orderId"":""ORD-2025-10003"",""orderDate"":""2025-01-04T11:21:00Z"",""customer"":{""customerId"":9088,""name"":""Samira Haddad"",""email"":""samira.h@example.com""},""items"":[{""productId"":""PROD-004"",""name"":""USB-C Hub"",""quantity"":1,""price"":49.5},{""productId"":""PROD-002"",""name"":""USB Cable"",""quantity"":4,""price"":9.99}],""shipping"":{""method"":""Express"",""cost"":15,""address"":{""street"":""55 Court Street"",""city"":""Boston"",""state"":""MA"",""zipCode"":""02108""}},""payment"":{""method"":""credit_card"",""last4"":""5510"",""status"":""pending""},""subtotal"":89.46,""tax"":8.05,""total"":112.51,""status"":""pending_payment""}"
2025-01-05T12:28:00.104Z,orders-api-2,"{""orderId"":""ORD-2025-10004"",""orderDate"":""2025-01-05T12:28:00Z"",""customer"":{""customerId"":4412,""name"":""Chris Ortiz"",""email"":""c.ortiz@example.com""},""items"":[{""productId"":""PROD-005"",""name"":""Laptop Stand"",""quantity"":1,""price"":39},{""productId"":""PROD-007"",""name"":""Webcam HD"",""quantity"":1,""price"":69},{""productId"":""PROD-001"",""name"":""Wireless Mouse"",""quantity"":1,""price"":29.99},{""productId"":""PROD-010"",""name"":""HDMI Cable"",""quantity"":2,""price"":12.99}],""shipping"":{""method"":""Standard"",""cost"":5,""address"":{""street"":""200 Peachtree St"",""city"":""Atlanta"",""state"":""GA"",""zipCode"":""30303""}},""payment"":{""method"":""debit_card"",""last4"":""3003"",""status"":""paid""},""subtotal"":163.97,""tax"":14.76,""total"":183.73,""status"":""processing""}"
2025-01-06T13:35:00.105Z,orders-worker-1,"{""orderId"":""ORD-2025-10005"",""orderDate"":""2025-01-06T13:35:00Z"",""customer"":{""customerId"":7765,""name"":""Priya Nair"",""email"":""priya.nair@example.com""},""items"":[{""productId"":""PROD-009"",""name"":""Portable SSD 1TB"",""quantity"":1,""price"":109}],""shipping"":{""method"":""Express"",""cost"":15,""address"":{""street"":""100 N Tryon St"",""city"":""Charlotte"",""state"":""NC"",""zipCode"":""28202""}},""payment"":{""method"":""credit_card"",""last4"":""7788"",""status"":""failed""},""subtotal"":109,""tax"":9.81,""total"":133.81,""status"":""cancelled""}"
2025-01-07T14:42:00.106Z,orders-api-1,"{""orderId"":""ORD-2025-10006"",""orderDate"":""2025-01-07T14:42:00Z"",""customer"":{""customerId"":2155,""name"":""Noah Feldman"",""email"":""noah.f@example.com""},""items"":[{""productId"":""PROD-003"",""name"":""Mechanical Keyboard"",""quantity"":1,""price"":119},{""productId"":""PROD-001"",""name"":""Wireless Mouse"",""quantity"":1,""price"":29.99},{""productId"":""PROD-008"",""name"":""Desk Mat"",""quantity"":1,""price"":24.5}],""shipping"":{""method"":""Overnight"",""cost"":29,""address"":{""street"":""789 Pine Street"",""city"":""Seattle"",""state"":""WA"",""zipCode"":""98101""}},""payment"":{""method"":""apple_pay"",""last4"":""2210"",""status"":""paid""},""subtotal"":173.49,""tax"":15.61,""total"":218.1,""status"":""shipped""}"
2025-01-08T15:49:00.107Z,orders-api-2,"{""orderId"":""ORD-2025-10007"",""orderDate"":""2025-01-08T15:49:00Z"",""customer"":{""customerId"":6630,""name"":""Elena Rossi"",""email"":""elena.rossi@example.com""},""items"":[{""productId"":""PROD-002"",""name"":""USB Cable"",""quantity"":5,""price"":9.99},{""productId"":""PROD-010"",""name"":""HDMI Cable"",""quantity"":2,""price"":12.99}],""shipping"":{""method"":""Standard"",""cost"":5,""address"":{""street"":""12 Market St"",""city"":""San Francisco"",""state"":""CA"",""zipCode"":""94105""}},""payment"":{""method"":""paypal"",""last4"":""9090"",""status"":""refunded""},""subtotal"":75.93,""tax"":6.83,""total"":87.76,""status"":""refunded""}"
2025-01-09T16:56:00.108Z,orders-worker-1,"{""orderId"":""ORD-2025-10008"",""orderDate"":""2025-01-09T16:56:00Z"",""customer"":{""customerId"":5678,""name"":""Michael Chen"",""email"":""michael.chen@example.com""},""items"":[{""productId"":""PROD-006"",""name"":""Noise Cancelling Headphones"",""quantity"":1,""price"":199.99},{""productId"":""PROD-004"",""name"":""USB-C Hub"",""quantity"":1,""price"":49.5}],""shipping"":{""method"":""Express"",""cost"":15,""address"":{""street"":""400 Congress Ave"",""city"":""Austin"",""state"":""TX"",""zipCode"":""78701""}},""payment"":{""method"":""credit_card"",""last4"":""4242"",""status"":""paid""},""subtotal"":249.49,""tax"":22.45,""total"":286.94,""status"":""delivered""}"
2025-01-10T17:03:00.109Z,orders-api-1,"{""orderId"":""ORD-2025-10009"",""orderDate"":""2025-01-10T17:03:00Z"",""customer"":{""customerId"":1201,""name"":""Ava Brooks"",""email"":""ava.brooks@example.com""},""items"":[{""productId"":""PROD-007"",""name"":""Webcam HD"",""quantity"":2,""price"":69},{""productId"":""PROD-005"",""name"":""Laptop Stand"",""quantity"":1,""price"":39},{""productId"":""PROD-008"",""name"":""Desk Mat"",""quantity"":1,""price"":24.5},{""productId"":""PROD-002"",""name"":""USB Cable"",""quantity"":1,""price"":9.99},{""productId"":""PROD-010"",""name"":""HDMI Cable"",""quantity"":1,""price"":12.99}],""shipping"":{""method"":""Overnight"",""cost"":29,""address"":{""street"":""55 Court Street"",""city"":""Boston"",""state"":""MA"",""zipCode"":""02108""}},""payment"":{""method"":""debit_card"",""last4"":""6677"",""status"":""paid""},""subtotal"":224.48,""tax"":20.2,""total"":273.68,""status"":""processing""}"
